origin_country,predicted_label,publish_date
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,1,2022-02
Germany,0,2022-02
Germany,1,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,1,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,1,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,1,2022-02
Germany,2,2022-02
Germany,1,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,1,2022-02
Germany,1,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,1,2022-02
Germany,1,2022-02
Germany,1,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,1,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,0,2022-02
